Orthogroup	chimp	human	rhesus
OG0000000	OR2T1	OR2T1	LOC100428924, LOC100429300, LOC100429647, LOC106997573, LOC106997700, LOC106997720, LOC114678409, LOC694153, LOC695014, LOC695212, LOC695321, LOC695668, LOC696462, LOC696927, LOC697287, LOC705279, LOC705521, LOC705762, LOC707938, LOC708012, LOC709324, LOC713246, LOC721914, LOC723058, OR2A1, OR2A2, OR2A25, OR2F1
OG0000001	HIST1H3A, LOC107966300, LOC107970566, LOC746430	CENPA, H3-2, H3-3A, H3-4, H3C13, H3C14, H3C15	HIST2H3A, HIST3H3, LOC114669830, LOC693887, LOC693939, LOC694152, LOC699443, LOC708899
OG0000002	LOC101056983		LOC100426918, LOC106995568, LOC106997382, LOC114669804, LOC697068, LOC706575, LOC708683, LOC709175, LOC709453, LOC709981, LOC710897, LOC711606, ZNF107, ZNF316, ZNF655, ZNF680, ZNF789
OG0000003	LOC100608066, LOC100615576, LOC104004835, LOC107970484, LOC469756, LOC469758, LOC469759	OR2L2, OR2L3, OR2L5, OR2L8	LOC100428218, LOC100428329, LOC106995331, LOC697422, LOC697549, LOC706808, LOC723064
OG0000004	LOC100608984, LOC100611442, LOC738237, LOC738383, LOC738646, LOC738761, OR5H15, OR5H6	OR5H1, OR5H14, OR5H15, OR5H2, OR5H6	LOC697584, LOC697706, LOC698781, LOC698909, LOC699033
OG0000005	HIST2H2AB, HIST2H2AC, HIST3H2A, LOC107971372, LOC746468	H2AC18, H2AC19, H2AC20, H2AC21, H2AW, SOS1	HIST2H2AB, HIST2H2AC, HIST3H2A, LOC114670854, LOC696463, LOC705636
OG0000006	LOC112208569, LOC746419, PRAMEF20	PRAMEF11, PRAMEF15, PRAMEF20, PRAMEF25, PRAMEF26, PRAMEF27, PRAMEF4, PRAMEF5, PRAMEF6, PRAMEF9	LOC715996, LOC716116, LOC722781
OG0000007	LOC457936, NBPF7	NBPF4, NBPF6	LOC106996959, LOC107000456, LOC114669854, LOC114677355, LOC694928, LOC699786, LOC712609, LOC717236, NBPF1, NBPF11, NBPF6, NBPF7
OG0000008	EPHB1, EPHB2, EPHB3	EPHA4, EPHB1, EPHB2, EPHB3	EPHA1, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6
OG0000009	LOC100615467, LOC107973825, LOC457260, LOC469702, LOC746513	H2BC18, H2BC21, H2BU1	HIST1H2BD, HIST3H2BB, LOC106997735, LOC107000817, LOC714818
OG0000010	LOC104001068, LOC457314, SPRR2B, SPRR2E, SPRR2G	SPRR2A, SPRR2B, SPRR2D, SPRR2E, SPRR2F, SPRR2G	LOC717915, LOC717970
OG0000011	ACTA1, LOC469722	ACTA1, ACTG2, ACTR1B, ACTR2, POTEE, POTEF, POTEI, POTEJ	ACTA1, ACTB, LOC705671
OG0000012			LOC114677048, LOC114677057, LOC695594, LOC698859, LOC699109, LOC716882, PRSS1, PRSS2, PRSS37, PRSS58, TMPRSS15, TMPRSS2, TMPRSS3
OG0000013	LOC112208656, LOC469411, LOC469764, LOC469769, LOC739832, LOC741161, OR2M5	OR2M2, OR2M3, OR2M5, OR2M7	LOC705993
OG0000014	LOC100613191, LOC104003354, LOC469539, LOC469541, OR10J5	OR10J1, OR10J3, OR10J5	LOC100423130, LOC106992667, LOC106993042, LOC719311
OG0000015	LOC100610460, LOC112204994, LOC112208384, LOC112208391, LOC736194, LOC747233, LOC747877, NBPF3	NBPF3	LOC708768, NBPF12
OG0000016	GBP1, GBP2, GBP3, LOC743562	GBP1, GBP2, GBP3	GBP3, LOC694538, LOC694684, LOC695462
OG0000017	LOC100612002, LOC107973663	PPIAL4A, PPIAL4C, PPIAL4D, PPIAL4E, PPIAL4F, PPIAL4G, PPIAL4H, PPIL3	PPIA
OG0000018	LOC112208401, UBE2E1, UBE2E2	UBE2E1, UBE2E2, UBE2E3, UBE2F	LOC714349, UBE2D4, UBE2E1, UBE2E2
OG0000019	LCE1B, LCE1E, LOC736162	LCE1B, LCE1C, LCE1D, LCE1E, LCE1F	LOC107000794, LOC107000798, LOC713408
OG0000020	CNTN3, CNTN4, CNTN6	CNTN3, CNTN4, CNTN6	CNTN3, CNTN4, CNTN6, HEPACAM2, JAM2
OG0000021	SCN10A, SCN5A	SCN10A, SCN1A, SCN2A, SCN3A, SCN5A, SCN7A, SCN9A	SCN10A, SCN5A
OG0000022		NBPF1, NBPF10, NBPF11, NBPF12, NBPF14, NBPF15, NBPF19, NBPF20, NBPF26, NBPF8, NBPF9	
OG0000023			LOC114676753, LOC704388, TAS2R16, TAS2R3, TAS2R38, TAS2R39, TAS2R4, TAS2R40, TAS2R41, TAS2R5, TAS2R60
OG0000024			KRBA1, LOC100427657, LOC710358, LOC711295, LOC711531, ZNF212, ZNF282, ZNF398, ZNF425, ZNF786, ZNF862
OG0000025	GSTM1, GSTM5, LOC744182	GSTM1, GSTM2, GSTM5	GSTM1, GSTM2, GSTM4, GSTM5
OG0000026	GALNT2	GALNT13, GALNT14, GALNT2, GALNT3, GALNT5	GALNT11, GALNT17, GALNT2, GALNTL5
OG0000027	LOC100612917, LOC104005724, LOC104005725, LOC107970438, LOC107970485, LOC469773	OR2T27, OR2T7	LOC100428761, LOC106995347
OG0000028		ANAPC1, GCC2, RANBP2, RGPD1, RGPD2, RGPD3, RGPD4, RGPD5, RGPD6, RGPD8	
OG0000029	CELA2A, LOC469129	CELA2A, CELA2B, PROC	LOC106992406, LOC114674066, LOC114674067, LOC694691
OG0000030	AKR7A2, AKR7A3, LOC104006552, LOC742959	AKR7A2, AKR7A3	AKR7A2, AKR7L, LOC715623
OG0000031	AGO1, AGO3, AGO4	AGO1, AGO3, AGO4	AGO1, AGO4, LOC712543
OG0000032	AKR1A1	AKR1A1	AKR1A1, AKR1B1, AKR1D1, LOC106996453, LOC706528, LOC706646, LOC713150
OG0000033	GBP4, GBP6, GBP7	GBP4, GBP6, GBP7	GBP6, GBP7, LOC695158
OG0000034	ATP1A1, ATP1A2, ATP1A4	ATP1A1, ATP1A2, ATP1A4	ATP1A1, ATP1A2, ATP1A4
OG0000035	CCT3	CCT3, CCT4, CCT7	CCT3, CCT6A, CCT8, CCT8L2, LOC706126
OG0000036	HMCN1	FBLN7, HMCN1, LTBP1, TTN	DSCAM, HMCN1, LOC114670618, LRRC4
OG0000037	DNAJB8	DNAJB2, DNAJB3, DNAJB8, DNAJC10, DNAJC5G	DNAJB6, DNAJB8, SAMD13
